Platform,Year,Genre,Publisher,Global Sales
4,18,2,7,82.74
21,1,8,7,40.24
4,20,7,7,35.82
4,21,2,7,33
22,8,4,7,31.37
22,1,12,7,30.26
2,18,8,7,30.01
4,18,3,7,29.02
4,21,8,7,28.62
21,1,5,7,28.31
2,17,9,7,24.76
2,17,7,7,23.42
22,11,4,7,23.1
4,19,2,7,22.72
4,21,2,7,22
5,22,3,20,21.82
3,25,1,10,21.4
1,16,1,10,20.81
16,2,8,7,20.61
2,17,3,7,20.22
2,18,4,7,18.36
22,1,8,7,18.14
21,1,8,7,17.28
5,25,1,10,16.38
1,14,1,10,16.15
10,14,4,7,15.85
2,22,4,7,15.32
2,17,12,7,15.3
1,13,7,8,14.98
5,23,5,2,14.76
22,10,4,7,14.64
5,22,5,2,14.64
12,25,4,7,14.35
14,27,5,2,14.24
3,24,5,2,14.03
5,24,5,2,13.73
5,21,5,2,13.51
3,23,5,2,13.46
1,13,1,10,13.1
4,20,10,7,13.04
3,22,5,2,12.73
2,17,9,7,12.27
12,23,7,7,12.21
5,19,5,20,12.14
14,26,1,10,11.98
2,21,1,7,11.9
15,8,8,7,11.89
1,16,7,8,11.66
4,19,8,7,11.52
12,26,4,7,11.33
22,4,6,7,11.18
5,20,1,10,11.02
6,9,7,8,10.95
12,23,8,7,10.79
3,22,7,8,10.77
3,21,5,2,10.69
3,20,1,10,10.57
16,5,8,7,10.55
10,16,4,7,10.49
2,16,8,7,10.42
4,23,3,4,10.26
5,25,5,2,10.21
5,22,5,20,9.88
15,8,7,7,9.87
12,24,8,7,9.82
5,24,5,20,9.76
6,9,4,8,9.72
3,25,5,2,9.59
4,22,3,4,9.52
6,11,7,8,9.49
5,19,5,2,9.32
16,6,8,7,9.3
5,25,3,20,9.2
12,24,9,7,9.09
2,19,3,7,9.02
5,23,4,35,8.84
16,4,7,7,8.76
14,27,2,1,8.49
4,22,3,7,8.49
9,16,5,20,8.49
4,19,3,7,8.42
2,24,4,7,8.33
3,24,1,1,8.24
8,21,9,1,8.11
15,9,5,7,8.09
4,19,2,9,8.06
1,13,4,8,8.05
6,11,4,43,7.86
2,20,4,7,7.84
20,1,12,12,7.81
7,17,1,10,7.72
4,22,8,7,7.69
14,27,5,1,7.67
14,26,5,2,7.6
15,10,1,7,7.6
6,9,8,8,7.58
21,1,8,7,7.46
12,26,10,7,7.45
5,20,5,2,7.37
5,23,5,1,7.34
4,18,1,7,7.31
17,27,5,2,7.3
4,21,3,4,7.27
3,23,5,1,7.23
1,15,7,1,7.2
6,10,10,8,7.16
6,10,8,8,7.13
11,13,10,7,7.07
19,26,7,7,6.96
14,27,4,35,6.96
11,15,7,7,6.95
4,24,3,4,6.91
3,25,2,1,6.9
1,16,7,1,6.9
1,14,5,1,6.83
3,23,1,8,6.83
6,8,8,8,6.82
4,22,2,19,6.81
5,20,5,20,6.76
3,21,1,8,6.73
3,19,5,2,6.72
3,23,2,1,6.69
2,17,3,7,6.67
3,22,1,10,6.6
14,26,2,1,6.59
4,22,8,7,6.59
3,23,4,35,6.56
21,1,1,7,6.51
3,24,1,4,6.5
9,13,5,20,6.43
10,16,4,7,6.41
1,14,4,8,6.4
22,12,4,7,6.39
5,21,5,20,6.36
5,22,1,10,6.34
11,14,8,7,6.31
16,4,10,11,6.3
8,16,4,2,6.28
6,11,1,46,6.27
5,22,2,20,6.24
5,23,5,20,6.24
5,18,5,20,6.11
1,13,1,5,6.05
23,4,8,9,6.03
3,20,1,5,6.03
6,10,1,5,6.03
3,25,1,114,5.99
1,18,4,14,5.95
3,20,8,8,5.92
2,21,4,7,5.84
4,19,1,29,5.83
6,10,1,37,5.82
6,8,10,8,5.74
2,18,9,19,5.72
14,26,5,2,5.65
21,1,12,7,5.58
3,21,1,4,5.57
15,11,10,7,5.55
5,19,6,4,5.55
3,23,1,15,5.53
5,21,7,20,5.51
7,20,4,11,5.5
10,13,8,7,5.49
10,13,7,7,5.47
10,13,8,7,5.46
15,11,11,7,5.45
3,20,5,2,5.43
1,13,8,81,5.42
3,26,3,8,5.42
3,21,4,14,5.36
22,1,12,7,5.34
22,11,3,7,5.31
5,24,1,4,5.3
6,12,4,43,5.3
1,15,4,1,5.29
15,11,8,7,5.27
5,21,1,4,5.27
2,19,12,7,5.26
6,9,1,17,5.24
1,16,4,14,5.21
8,24,4,2,5.2
10,15,8,7,5.2
19,24,8,7,5.19
22,6,8,7,5.19
5,24,1,1,5.18
2,19,1,7,5.17
16,7,8,7,5.15
12,25,9,7,5.15
2,20,2,9,5.14
1,15,5,1,5.13
22,4,8,7,5.13
5,22,4,20,5.13
17,26,5,2,5.13
8,8,9,20,5.12
1,18,3,151,5.12
3,21,1,11,5.11
17,26,1,10,5.08
7,18,1,10,5.08
3,22,2,1,5.08
22,11,8,7,5.07
6,8,1,37,5.05
6,11,2,2,5.02
19,26,10,7,5.02
6,11,11,17,5.01
6,10,8,8,5
4,19,5,7,5
1,19,3,2,4.98
5,20,4,35,4.96
2,19,4,7,4.96
3,19,1,8,4.94
1,17,2,1,4.91
2,19,1,29,4.9
15,9,7,7,4.88
7,22,4,11,4.87
21,2,12,7,4.85
3,22,1,8,4.84
8,22,11,2,4.83
3,19,6,4,4.83
3,26,2,1,4.82
6,11,7,8,4.79
14,28,2,1,4.77
5,23,1,15,4.76
6,12,1,12,4.73
1,15,7,23,4.7
6,12,2,2,4.68
4,20,9,7,4.68
1,14,1,1,4.67
5,23,7,20,4.64
6,8,1,17,4.63
4,19,3,2,4.62
16,3,1,7,4.61
11,14,1,7,4.6
4,21,2,9,4.58
12,25,1,7,4.58
19,27,5,7,4.57
14,26,1,8,4.55
5,19,3,2,4.53
1,16,2,1,4.53
20,1,8,2,4.5
1,18,2,1,4.49
1,14,1,2,4.48
6,12,4,65,4.47
14,27,1,8,4.47
3,26,5,2,4.45
1,17,1,8,4.45
19,24,3,7,4.44
4,22,3,4,4.42
1,13,2,2,4.41
1,18,2,5,4.39
5,18,4,10,4.39
21,1,6,7,4.38
1,17,7,1,4.37
3,18,5,8,4.35
23,3,8,9,4.34
1,17,4,14,4.33
5,25,2,1,4.31
5,26,5,2,4.31
20,1,5,12,4.31
5,20,4,20,4.31
17,27,5,20,4.26
19,25,8,7,4.25
3,21,1,17,4.25
3,23,1,4,4.24
10,13,3,3,4.24
1,16,1,5,4.23
7,18,8,8,4.22
8,7,11,2,4.21
12,23,1,7,4.21
1,17,2,1,4.21
1,15,3,8,4.2
14,28,5,8,4.2
3,19,7,8,4.2
5,23,1,4,4.19
3,21,10,11,4.19
5,23,2,1,4.19
21,1,1,151,4.17
21,1,7,7,4.16
6,9,1,106,4.16
1,14,2,1,4.14
14,26,1,4,4.14
8,9,5,23,4.12
16,7,8,7,4.12
1,18,2,1,4.11
4,23,1,7,4.1
16,4,10,11,4.1
4,19,3,10,4.1
17,27,4,35,4.09
8,19,4,2,4.09
5,22,4,35,4.08
1,19,1,8,4.07
5,19,7,20,4.06
1,17,2,5,4.06
6,8,3,8,4.05
1,12,10,3,4.05
14,26,5,4,4.03
15,9,5,7,4.03
14,26,3,114,4.02
21,1,2,7,4.01
3,20,4,35,4.01
2,19,12,7,4
5,21,5,1,3.99
1,17,3,3,3.98
4,21,2,1,3.92
14,26,1,4,3.92
22,6,8,7,3.91
1,15,2,2,3.9
3,25,1,4,3.89
12,26,4,7,3.89
3,18,7,8,3.88
8,23,4,35,3.88
1,17,10,3,3.87
21,1,4,65,3.87
3,22,2,8,3.87
14,27,2,10,3.85
1,16,2,5,3.85
2,19,3,7,3.84
6,7,3,8,3.84
22,4,1,7,3.83
2,21,4,7,3.83
4,19,3,7,3.82
12,23,9,7,3.81
14,27,1,15,3.79
4,23,2,9,3.78
5,20,1,2,3.78
6,8,1,37,3.77
7,19,8,8,3.77
4,25,3,4,3.76
8,14,9,1,3.76
4,19,8,7,3.76
6,13,1,1,3.73
14,27,4,3,3.73
6,11,1,17,3.72
6,12,8,8,3.71
1,16,2,1,3.7
22,10,11,7,3.7
3,25,5,1,3.69
2,19,9,1,3.69
2,21,3,7,3.67
1,14,2,2,3.67
7,17,7,10,3.66
15,10,8,7,3.65
1,14,5,8,3.65
4,20,3,2,3.65
3,25,7,8,3.64
1,13,8,8,3.64
15,11,9,7,3.63
3,21,2,1,3.63
1,19,2,5,3.63
14,25,5,2,3.63
1,17,1,11,3.62
14,28,5,4,3.61
1,16,5,29,3.61
8,6,5,37,3.61
1,13,7,1,3.61
2,19,9,19,3.61
11,13,1,7,3.6
1,17,5,29,3.59
6,12,10,6,3.58
6,9,8,151,3.56
1,18,1,10,3.54
1,14,1,8,3.54
6,9,1,17,3.54
1,13,5,1,3.53
1,17,1,17,3.53
5,25,5,1,3.53
5,22,2,1,3.53
6,12,1,6,3.52
6,11,8,8,3.52
5,20,5,1,3.52
2,21,2,9,3.52
5,21,1,11,3.51
16,8,8,7,3.51
5,22,1,4,3.5
21,1,1,7,3.5
5,21,1,17,3.5
2,18,3,7,3.5
17,27,5,1,3.49
5,22,5,1,3.48
2,20,3,2,3.48
17,26,1,4,3.46
3,24,5,4,3.45
12,25,4,11,3.44
5,21,5,10,3.44
1,14,10,3,3.44
14,25,5,1,3.43
3,23,8,8,3.42
6,10,1,10,3.42
16,6,4,43,3.42
1,16,1,2,3.41
22,2,7,7,3.41
1,14,2,1,3.4
6,12,3,8,3.39
5,20,1,15,3.38
14,27,1,5,3.38
2,21,1,7,3.38
6,10,10,21,3.36
15,12,1,7,3.36
2,20,12,7,3.36
6,10,6,6,3.34
5,25,1,4,3.34
2,18,3,7,3.33
1,14,5,1,3.33
1,14,8,8,3.33
4,24,3,7,3.32
1,17,1,29,3.32
1,13,5,10,3.31
1,15,1,1,3.28
14,27,1,4,3.28
17,26,5,2,3.28
1,15,1,2,3.27
4,20,3,7,3.27
7,21,7,8,3.27
12,27,1,11,3.26
6,7,10,8,3.24
17,27,2,1,3.23
3,23,6,10,3.23
14,27,2,1,3.22
12,26,4,7,3.22
6,11,5,1,3.21
21,1,2,7,3.2
16,7,10,7,3.2
6,12,10,6,3.2
7,19,4,14,3.19
7,20,1,8,3.19
16,7,4,65,3.19
5,22,3,50,3.19
1,15,1,12,3.18
19,27,8,7,3.18
3,22,4,35,3.17
2,20,3,7,3.17
1,13,9,114,3.17
2,20,6,16,3.16
11,13,9,7,3.15
2,20,1,15,3.15
2,17,8,9,3.15
3,24,5,11,3.15
17,26,5,20,3.15
1,19,2,1,3.14
6,12,1,2,3.13
6,10,7,1,3.12
15,11,7,7,3.12
2,18,3,7,3.12
3,19,4,4,3.12
21,2,4,65,3.12
3,22,6,8,3.12
5,22,4,1,3.11
5,26,2,1,3.11
1,14,10,12,3.09
1,13,2,1,3.08
21,1,2,3,3.08
5,24,5,10,3.07
12,25,1,7,3.07
22,6,8,7,3.07
8,14,9,1,3.07
5,24,4,1,3.07
5,20,1,2,3.05
5,24,5,4,3.04
4,22,8,16,3.04
5,20,1,6,3.03
6,7,8,4,3.03
3,21,5,8,3.02
9,14,1,4,3.02
21,1,10,7,3.02
1,14,2,6,3.02
17,27,5,20,3
5,24,2,10,3
1,19,10,12,3
14,26,1,15,2.99
16,5,5,7,2.99
8,12,3,1,2.99
1,14,2,5,2.99
1,13,1,11,2.99
12,27,9,7,2.98
3,22,5,1,2.97
8,26,9,1,2.97
8,23,4,1,2.97
1,15,8,9,2.96
2,20,8,7,2.96
1,14,1,17,2.96
5,21,10,11,2.95
15,8,7,7,2.94
1,15,5,8,2.94
1,17,10,6,2.94
3,21,1,8,2.94
10,13,12,12,2.94
5,19,4,20,2.93
4,18,12,7,2.92
4,19,9,19,2.91
10,14,8,7,2.91
14,25,2,1,2.9
17,26,5,1,2.9
1,16,3,9,2.9
5,20,2,9,2.9
1,15,2,5,2.9
3,24,7,1,2.89
1,13,2,8,2.89
1,16,5,2,2.89
4,23,2,30,2.88
6,11,5,8,2.88
2,19,9,4,2.88
6,10,7,24,2.87
17,25,5,2,2.86
5,24,2,1,2.86
9,14,4,4,2.86
3,23,10,15,2.85
16,2,7,7,2.85
15,9,8,7,2.85
8,8,11,37,2.85
4,23,1,2,2.85
3,27,2,1,2.85
3,22,1,4,2.84
5,19,5,10,2.83
5,21,2,1,2.83
3,22,5,1,2.83
1,14,10,6,2.83
11,14,5,7,2.82
10,15,1,6,2.82
8,6,6,151,2.81
3,22,7,1,2.81
2,19,9,4,2.81
1,15,10,6,2.8
5,20,1,29,2.8
2,18,8,7,2.8
6,9,2,8,2.79
3,23,5,8,2.79
6,10,8,8,2.79
1,13,10,6,2.79
16,4,4,65,2.79
6,8,10,46,2.79
8,23,5,1,2.79
1,13,2,1,2.79
2,21,12,7,2.79
12,23,4,7,2.79
1,15,8,8,2.78
14,26,1,8,2.78
1,15,8,8,2.78
3,21,10,3,2.78
1,15,9,1,2.77
4,19,8,9,2.77
5,23,1,6,2.77
20,1,5,12,2.76
16,4,3,7,2.75
14,25,1,4,2.74
15,12,11,7,2.73
21,1,1,7,2.73
5,23,6,10,2.72
5,18,5,2,2.71
10,14,1,7,2.7
1,13,1,37,2.7
14,27,10,15,2.7
15,10,3,7,2.7
5,23,2,1,2.69
1,18,1,29,2.69
5,22,2,1,2.69
2,22,12,7,2.69
5,22,2,1,2.68
1,16,7,1,2.68
12,26,4,69,2.68
3,21,7,1,2.68
3,23,4,14,2.68
23,4,10,151,2.67
1,17,5,2,2.67
5,20,3,2,2.67
6,10,5,1,2.67
9,16,4,20,2.66
2,18,1,16,2.65
1,15,1,4,2.65
4,24,1,2,2.65
7,18,5,1,2.65
21,1,8,7,2.65
15,8,1,7,2.65
5,19,1,29,2.64
1,12,7,10,2.63
7,18,10,8,2.63
5,21,11,20,2.63
3,21,1,8,2.63
1,16,2,9,2.62
4,19,2,7,2.62
5,22,5,1,2.62
5,21,2,1,2.62
5,23,2,10,2.62
2,20,9,7,2.61
1,14,1,1,2.61
4,22,8,7,2.6
23,2,1,9,2.6
3,20,2,1,2.59
3,19,8,8,2.59
1,16,2,1,2.59
7,21,8,8,2.58
14,25,5,8,2.58
5,21,1,10,2.58
7,19,4,11,2.58
1,18,10,6,2.58
1,16,8,8,2.57
2,22,3,7,2.57
5,21,4,1,2.57
1,19,2,1,2.57
11,13,8,9,2.56
21,1,4,65,2.56
3,24,2,1,2.56
11,15,4,7,2.54
4,20,2,5,2.54
5,20,2,1,2.54
1,13,7,21,2.52
15,12,1,7,2.52
4,19,3,18,2.52
21,1,4,11,2.52
3,25,1,14,2.51
5,18,4,2,2.5
1,20,2,5,2.5
15,11,3,7,2.5
3,23,1,6,2.49
9,15,1,10,2.49
4,22,1,15,2.49
1,14,10,18,2.49
3,20,5,8,2.48
5,20,7,16,2.48
6,10,1,17,2.48
3,24,2,10,2.48
5,25,2,10,2.47
11,14,3,7,2.47
4,22,3,6,2.46
3,20,7,10,2.45
16,4,4,43,2.45
6,9,4,43,2.45
6,8,7,8,2.44
5,23,5,20,2.44
7,18,7,1,2.44
1,15,9,1,2.43
8,9,6,151,2.43
5,20,5,4,2.42
23,10,8,9,2.42
21,1,2,7,2.42
3,22,2,5,2.42
1,15,10,12,2.41
1,13,7,8,2.41
6,10,1,11,2.41
17,26,3,20,2.41
1,19,7,1,2.41
17,27,2,1,2.4
6,8,12,151,2.4
21,1,10,7,2.4
8,9,11,1,2.4
14,27,7,1,2.39
5,22,2,19,2.39
8,6,3,106,2.39
3,25,1,15,2.39
5,23,1,26,2.39
1,17,3,151,2.38
3,19,1,29,2.38
5,23,3,20,2.38
15,10,10,6,2.38
14,27,1,8,2.38
14,26,2,10,2.38
3,22,2,1,2.38
1,13,3,5,2.38
5,19,2,1,2.37
8,16,5,23,2.37
1,16,1,6,2.37
1,16,2,2,2.37
3,21,2,1,2.37
5,23,2,20,2.36
22,7,8,7,2.36
2,22,1,15,2.35
22,8,8,7,2.35
22,10,4,17,2.35
5,20,7,10,2.35
4,25,8,2,2.34
1,19,10,6,2.34
4,20,2,4,2.34
1,13,1,11,2.34
5,22,9,1,2.33
12,27,1,7,2.32
17,27,2,10,2.32
4,22,3,4,2.32
15,12,2,7,2.32
6,9,1,10,2.32
1,16,5,1,2.31
2,16,12,7,2.31
6,11,7,1,2.31
16,7,4,43,2.31
6,10,2,122,2.31
5,25,1,15,2.3
8,24,1,151,2.3
2,20,4,7,2.3
3,23,1,26,2.29
8,9,1,17,2.29
3,25,1,8,2.29
9,16,7,1,2.28
3,21,2,5,2.28
4,26,3,4,2.28
12,27,1,69,2.28
21,1,8,7,2.28
1,20,2,1,2.28
3,20,1,29,2.28
3,24,5,10,2.28
6,9,7,24,2.28
12,24,4,7,2.27
3,21,3,9,2.27
4,18,3,9,2.27
10,14,8,7,2.27
10,13,8,7,2.26
3,19,3,2,2.26
4,19,1,11,2.26
13,26,3,114,2.25
1,14,6,11,2.25
6,9,2,151,2.25
11,16,4,7,2.25
3,23,2,1,2.25
4,21,4,7,2.25
7,20,10,14,2.25
10,13,8,9,2.24
10,13,8,23,2.23
21,2,1,5,2.23
2,20,1,2,2.23
1,21,9,5,2.23
19,25,8,7,2.22
1,15,1,4,2.22
2,21,12,15,2.22
22,10,6,7,2.22
5,22,7,1,2.22
5,22,5,10,2.21
17,25,1,4,2.21
1,18,1,11,2.21
5,20,3,1,2.2
20,1,1,151,2.2
5,19,3,2,2.2
22,12,8,7,2.2
21,1,2,3,2.2
4,20,8,9,2.2
2,19,12,16,2.2
3,23,1,5,2.19
5,18,1,6,2.19
9,15,4,2,2.19
22,4,3,7,2.19
22,12,8,7,2.19
3,24,1,14,2.19
22,12,4,5,2.18
1,14,7,6,2.18
17,25,7,20,2.18
5,25,2,1,2.18
2,18,4,7,2.18
10,15,4,7,2.17
5,22,4,14,2.17
15,10,9,7,2.17
21,1,2,7,2.17
8,13,9,1,2.16
4,21,2,4,2.16
6,12,5,8,2.15
14,27,5,4,2.15
21,1,2,7,2.15
17,26,2,1,2.15
7,19,5,2,2.14
16,8,4,7,2.14
21,1,3,7,2.14
21,1,7,7,2.14
8,4,9,151,2.14
20,1,5,151,2.13
1,16,9,5,2.13
2,18,12,7,2.13
10,15,4,43,2.13
14,28,1,4,2.13
2,22,1,16,2.12
2,18,4,14,2.12
4,22,8,7,2.12
9,13,7,20,2.12
22,1,2,7,2.12
3,23,2,10,2.11
3,21,5,10,2.11
15,12,2,2,2.11
3,20,2,5,2.11
1,14,7,1,2.11
4,22,2,7,2.11
1,15,1,13,2.11
5,23,10,15,2.11
6,10,4,43,2.1
1,14,8,6,2.1
9,14,1,20,2.1
7,17,7,1,2.1
5,23,5,151,2.1
1,17,1,11,2.09
6,9,2,86,2.09
5,18,1,11,2.09
1,15,1,6,2.09
5,22,1,10,2.09
4,21,3,63,2.09
2,18,9,1,2.09
14,27,5,1,2.09
7,22,1,5,2.09
8,22,4,2,2.08
1,14,12,6,2.08
3,20,7,1,2.08
4,19,9,5,2.08
11,15,3,7,2.08
3,22,1,10,2.08
8,10,11,1,2.08
8,6,11,2,2.08
3,22,2,1,2.08
6,14,5,10,2.07
7,22,4,14,2.07
5,21,10,6,2.07
3,23,4,3,2.07
10,13,11,5,2.07
5,19,7,1,2.06
3,22,9,1,2.06
5,22,1,4,2.06
10,17,4,7,2.06
10,16,1,6,2.06
6,10,7,3,2.06
1,15,10,3,2.06
12,25,4,7,2.06
3,19,7,1,2.05
2,20,3,10,2.05
3,25,2,10,2.05
2,17,4,7,2.05
11,14,3,40,2.05
3,25,4,2,2.05
23,4,2,151,2.05
5,19,7,20,2.05
2,21,4,14,2.04
5,23,3,20,2.04
4,20,3,4,2.04
1,18,5,8,2.04
1,17,1,4,2.04
10,15,8,7,2.04
3,23,1,1,2.04
14,26,2,1,2.03
15,10,2,7,2.03
5,23,3,4,2.03
1,15,2,1,2.03
3,20,1,1,2.02
5,17,5,2,2.02
5,26,2,1,2.02
5,24,7,20,2.02
2,19,12,18,2.01
17,28,5,4,2.01
3,25,1,15,2
12,24,4,7,2
14,26,7,8,2
16,5,10,7,2
3,20,10,18,2
6,9,1,2,1.99
22,1,2,7,1.99
10,14,1,1,1.99
6,14,1,1,1.98
16,3,9,7,1.98
17,25,5,1,1.98
5,24,5,11,1.98
14,26,4,1,1.97
2,22,8,9,1.97
1,14,8,81,1.97
4,20,5,2,1.97
1,15,1,11,1.97
3,20,7,1,1.97
20,1,1,12,1.97
5,25,5,10,1.96
7,16,2,8,1.96
21,1,7,7,1.96
21,1,2,7,1.96
2,18,8,7,1.96
5,18,5,4,1.96
5,26,5,2,1.95
1,15,7,23,1.95
9,17,1,10,1.95
8,6,5,29,1.95
1,15,2,1,1.95
1,15,10,1,1.94
5,20,2,1,1.94
8,11,3,16,1.94
6,13,6,6,1.94
22,1,12,7,1.94
1,16,10,12,1.94
6,9,7,8,1.94
1,14,5,4,1.94
1,16,4,2,1.93
5,25,1,15,1.93
3,20,3,2,1.93
16,5,10,21,1.93
18,7,10,9,1.93
22,10,12,7,1.93
5,20,10,18,1.93
3,26,1,4,1.93
4,20,2,7,1.93
5,25,1,14,1.92
22,13,1,7,1.92
5,21,7,1,1.92
4,20,3,1,1.92
1,13,5,6,1.92
8,15,9,1,1.92
1,16,7,6,1.92
6,8,3,8,1.92
4,21,3,16,1.92
15,12,3,7,1.91
4,20,1,29,1.91
4,20,3,18,1.91
14,27,5,2,1.91
4,23,1,29,1.91
11,13,9,29,1.9
3,24,5,10,1.9
14,25,7,1,1.89
3,20,2,1,1.89
12,25,4,7,1.89
3,21,8,8,1.88
6,11,4,5,1.88
1,16,10,18,1.88
6,11,2,8,1.88
1,17,5,1,1.88
6,10,10,6,1.88
1,19,3,16,1.87
11,14,6,7,1.87
6,10,2,1,1.87
1,13,1,6,1.87
12,25,8,7,1.87
22,13,6,7,1.86
9,17,2,1,1.86
1,16,8,2,1.86
6,11,4,8,1.86
15,9,8,21,1.86
1,16,3,8,1.86
14,26,8,8,1.86
1,13,2,1,1.86
2,21,1,16,1.86
6,11,4,43,1.86
4,22,1,2,1.86
12,25,3,7,1.85
1,16,8,8,1.85
4,19,3,4,1.85
10,16,4,14,1.85
21,1,1,7,1.85
3,23,1,8,1.85
3,21,4,3,1.84
1,17,2,1,1.84
15,10,9,7,1.83
10,17,3,6,1.83
8,24,4,2,1.83
6,8,7,8,1.83
14,27,1,14,1.83
16,5,4,43,1.83
5,19,5,1,1.83
6,7,9,8,1.83
12,26,8,7,1.82
23,6,8,9,1.82
1,13,3,3,1.82
8,13,9,1,1.82
4,19,5,7,1.82
2,22,4,7,1.81
14,26,1,35,1.81
1,15,9,5,1.81
23,12,7,9,1.81
1,14,10,9,1.81
1,16,8,8,1.81
1,20,3,2,1.8
10,14,8,9,1.8
5,18,2,1,1.8
3,22,1,10,1.8
6,11,2,122,1.8
3,27,5,2,1.79
16,6,8,37,1.79
3,25,6,8,1.79
5,24,1,20,1.78
1,15,7,10,1.78
2,18,4,14,1.78
6,13,1,6,1.78
1,16,1,8,1.78
12,23,12,7,1.78
3,22,1,14,1.78
3,24,4,11,1.78
19,25,1,7,1.77
1,17,1,23,1.77
4,19,3,16,1.77
19,25,3,7,1.77
3,25,2,1,1.77
16,3,4,151,1.77
15,12,8,7,1.77
9,13,10,20,1.77
3,21,10,6,1.77
22,3,6,7,1.76
