Platform,Year,Genre,Publisher,Global Sales
4,18,2,7,High
21,1,8,7,High
4,20,7,7,High
4,21,2,7,High
22,8,4,7,High
22,1,12,7,High
2,18,8,7,High
4,18,3,7,High
4,21,8,7,High
21,1,5,7,High
2,17,9,7,High
2,17,7,7,High
22,11,4,7,High
4,19,2,7,High
4,21,2,7,High
5,22,3,20,High
3,25,1,10,High
1,16,1,10,High
16,2,8,7,High
2,17,3,7,High
2,18,4,7,High
22,1,8,7,High
21,1,8,7,High
5,25,1,10,High
1,14,1,10,High
10,14,4,7,High
2,22,4,7,High
2,17,12,7,High
1,13,7,8,High
5,23,5,2,High
22,10,4,7,High
5,22,5,2,High
12,25,4,7,High
14,27,5,2,High
3,24,5,2,High
5,24,5,2,High
5,21,5,2,High
3,23,5,2,High
1,13,1,10,High
4,20,10,7,High
3,22,5,2,High
2,17,9,7,High
12,23,7,7,High
5,19,5,20,High
14,26,1,10,High
2,21,1,7,High
15,8,8,7,High
1,16,7,8,High
4,19,8,7,High
12,26,4,7,High
22,4,6,7,High
5,20,1,10,High
6,9,7,8,High
12,23,8,7,High
3,22,7,8,High
3,21,5,2,High
3,20,1,10,High
16,5,8,7,High
10,16,4,7,High
2,16,8,7,High
4,23,3,4,High
5,25,5,2,High
5,22,5,20,High
15,8,7,7,High
12,24,8,7,High
5,24,5,20,High
6,9,4,8,High
3,25,5,2,High
4,22,3,4,High
6,11,7,8,High
5,19,5,2,High
16,6,8,7,High
5,25,3,20,High
12,24,9,7,High
2,19,3,7,High
5,23,4,35,High
16,4,7,7,High
14,27,2,1,High
4,22,3,7,High
9,16,5,20,High
4,19,3,7,High
2,24,4,7,High
3,24,1,1,High
8,21,9,1,High
15,9,5,7,High
4,19,2,9,High
1,13,4,8,High
6,11,4,43,High
2,20,4,7,High
20,1,12,12,High
7,17,1,10,High
4,22,8,7,High
14,27,5,1,High
14,26,5,2,High
15,10,1,7,High
6,9,8,8,High
21,1,8,7,High
12,26,10,7,High
5,20,5,2,High
5,23,5,1,High
4,18,1,7,High
17,27,5,2,High
4,21,3,4,High
3,23,5,1,High
1,15,7,1,High
6,10,10,8,High
6,10,8,8,High
11,13,10,7,High
19,26,7,7,High
14,27,4,35,High
11,15,7,7,High
4,24,3,4,High
3,25,2,1,High
1,16,7,1,High
1,14,5,1,High
3,23,1,8,High
6,8,8,8,High
4,22,2,19,High
5,20,5,20,High
3,21,1,8,High
3,19,5,2,High
3,23,2,1,High
2,17,3,7,High
3,22,1,10,High
14,26,2,1,High
4,22,8,7,High
3,23,4,35,High
21,1,1,7,High
3,24,1,4,High
9,13,5,20,High
10,16,4,7,High
1,14,4,8,High
22,12,4,7,High
5,21,5,20,High
5,22,1,10,High
11,14,8,7,High
16,4,10,11,High
8,16,4,2,High
6,11,1,46,High
5,22,2,20,High
5,23,5,20,High
5,18,5,20,High
1,13,1,5,High
23,4,8,9,High
3,20,1,5,High
6,10,1,5,High
3,25,1,114,High
1,18,4,14,High
3,20,8,8,High
2,21,4,7,High
4,19,1,29,High
6,10,1,37,High
6,8,10,8,High
2,18,9,19,High
14,26,5,2,High
21,1,12,7,High
3,21,1,4,High
15,11,10,7,High
5,19,6,4,High
3,23,1,15,High
5,21,7,20,High
7,20,4,11,High
10,13,8,7,High
10,13,7,7,High
10,13,8,7,High
15,11,11,7,High
3,20,5,2,High
1,13,8,81,High
3,26,3,8,High
3,21,4,14,High
22,1,12,7,High
22,11,3,7,High
5,24,1,4,High
6,12,4,43,High
