Platform,Year,Genre,Publisher,Global Sales
4,20,7,7,35.82
4,21,2,7,33
22,8,4,7,31.37
22,1,12,7,30.26
2,18,8,7,30.01
4,18,3,7,29.02
4,21,8,7,28.62
21,1,5,7,28.31
2,17,9,7,24.76
2,17,7,7,23.42
22,11,4,7,23.1
4,19,2,7,22.72
4,21,2,7,22
5,22,3,20,21.82
3,25,1,10,21.4
1,16,1,10,20.81
16,2,8,7,20.61
2,17,3,7,20.22
2,18,4,7,18.36
22,1,8,7,18.14
21,1,8,7,17.28
5,25,1,10,16.38
1,14,1,10,16.15
10,14,4,7,15.85
2,22,4,7,15.32
2,17,12,7,15.3
1,13,7,8,14.98
5,23,5,2,14.76
22,10,4,7,14.64
5,22,5,2,14.64
12,25,4,7,14.35
14,27,5,2,14.24
3,24,5,2,14.03
5,24,5,2,13.73
5,21,5,2,13.51
3,23,5,2,13.46
1,13,1,10,13.1
4,20,10,7,13.04
3,22,5,2,12.73
2,17,9,7,12.27
12,23,7,7,12.21
5,19,5,20,12.14
14,26,1,10,11.98
2,21,1,7,11.9
15,8,8,7,11.89
1,16,7,8,11.66
4,19,8,7,11.52
12,26,4,7,11.33
22,4,6,7,11.18
5,20,1,10,11.02
6,9,7,8,10.95
12,23,8,7,10.79
3,22,7,8,10.77
3,21,5,2,10.69
3,20,1,10,10.57
16,5,8,7,10.55
10,16,4,7,10.49
2,16,8,7,10.42
4,23,3,4,10.26
5,25,5,2,10.21
5,22,5,20,9.88
15,8,7,7,9.87
12,24,8,7,9.82
5,24,5,20,9.76
6,9,4,8,9.72
3,25,5,2,9.59
4,22,3,4,9.52
6,11,7,8,9.49
5,19,5,2,9.32
16,6,8,7,9.3
5,25,3,20,9.2
12,24,9,7,9.09
2,19,3,7,9.02
5,23,4,35,8.84
16,4,7,7,8.76
14,27,2,1,8.49
4,22,3,7,8.49
9,16,5,20,8.49
4,19,3,7,8.42
2,24,4,7,8.33
3,24,1,1,8.24
8,21,9,1,8.11
15,9,5,7,8.09
4,19,2,9,8.06
1,13,4,8,8.05
6,11,4,43,7.86
2,20,4,7,7.84
20,1,12,12,7.81
7,17,1,10,7.72
4,22,8,7,7.69
14,27,5,1,7.67
14,26,5,2,7.6
15,10,1,7,7.6
6,9,8,8,7.58
21,1,8,7,7.46
12,26,10,7,7.45
5,20,5,2,7.37
5,23,5,1,7.34
4,18,1,7,7.31
17,27,5,2,7.3
4,21,3,4,7.27
3,23,5,1,7.23
1,15,7,1,7.2
6,10,10,8,7.16
6,10,8,8,7.13
11,13,10,7,7.07
19,26,7,7,6.96
14,27,4,35,6.96
11,15,7,7,6.95
4,24,3,4,6.91
3,25,2,1,6.9
1,16,7,1,6.9
1,14,5,1,6.83
3,23,1,8,6.83
6,8,8,8,6.82
4,22,2,19,6.81
